# $Id$
# PcbXY Version 1.0
# Date: Wed Jan 28 23:52:37 2009 UTC
# Author: Luke Orland
# Title: bien sucia - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mils.  rotation in degrees.
# --------------------------------------------
(unknown),"pin.fp","unknown",2800.00,4400.00,0,top
(unknown),"pin.fp","unknown",2900.00,4400.00,0,top
(unknown),"pin.fp","unknown",2700.00,4300.00,0,top
(unknown),"pin.fp","unknown",2800.00,4300.00,0,top
(unknown),"pin.fp","unknown",2900.00,4300.00,0,top
(unknown),"pin.fp","unknown",2700.00,4200.00,0,top
(unknown),"pin.fp","unknown",2800.00,4200.00,0,top
(unknown),"pin.fp","unknown",2900.00,4200.00,0,top
(unknown),"pin.fp","unknown",2700.00,4100.00,0,top
(unknown),"pin.fp","unknown",2800.00,4100.00,0,top
(unknown),"pin.fp","unknown",2900.00,4100.00,0,top
(unknown),"pin.fp","unknown",2700.00,4000.00,0,top
(unknown),"pin.fp","unknown",2800.00,4000.00,0,top
(unknown),"pin.fp","unknown",2900.00,4000.00,0,top
(unknown),"pin.fp","unknown",2700.00,3900.00,0,top
(unknown),"pin.fp","unknown",2800.00,3900.00,0,top
(unknown),"pin.fp","unknown",2900.00,3900.00,0,top
(unknown),"pin.fp","unknown",2700.00,3800.00,0,top
(unknown),"pin.fp","unknown",2800.00,3800.00,0,top
(unknown),"pin.fp","unknown",2900.00,3800.00,0,top
(unknown),"pin.fp","unknown",2400.00,5100.00,0,top
(unknown),"pin.fp","unknown",2500.00,5100.00,0,top
(unknown),"pin.fp","unknown",2600.00,5100.00,0,top
(unknown),"pin.fp","unknown",2400.00,5000.00,0,top
(unknown),"pin.fp","unknown",2500.00,5000.00,0,top
(unknown),"pin.fp","unknown",2600.00,5000.00,0,top
(unknown),"pin.fp","unknown",2400.00,4900.00,0,top
(unknown),"pin.fp","unknown",2500.00,4900.00,0,top
(unknown),"pin.fp","unknown",2600.00,4900.00,0,top
(unknown),"pin.fp","unknown",2400.00,4800.00,0,top
(unknown),"pin.fp","unknown",2500.00,4800.00,0,top
(unknown),"pin.fp","unknown",2600.00,4800.00,0,top
(unknown),"pin.fp","unknown",2400.00,4700.00,0,top
(unknown),"pin.fp","unknown",2500.00,4700.00,0,top
(unknown),"pin.fp","unknown",2600.00,4700.00,0,top
(unknown),"pin.fp","unknown",2400.00,4600.00,0,top
(unknown),"pin.fp","unknown",2500.00,4600.00,0,top
(unknown),"pin.fp","unknown",2600.00,4600.00,0,top
(unknown),"pin.fp","unknown",2400.00,3700.00,0,top
(unknown),"pin.fp","unknown",2500.00,3700.00,0,top
(unknown),"pin.fp","unknown",2600.00,3700.00,0,top
(unknown),"pin.fp","unknown",2400.00,4500.00,0,top
(unknown),"pin.fp","unknown",2500.00,4500.00,0,top
(unknown),"pin.fp","unknown",2600.00,4500.00,0,top
(unknown),"pin.fp","unknown",2400.00,4400.00,0,top
(unknown),"pin.fp","unknown",2500.00,4400.00,0,top
(unknown),"pin.fp","unknown",2600.00,4400.00,0,top
(unknown),"pin.fp","unknown",2400.00,4300.00,0,top
(unknown),"pin.fp","unknown",2500.00,4300.00,0,top
(unknown),"pin.fp","unknown",2600.00,4300.00,0,top
(unknown),"pin.fp","unknown",2400.00,4200.00,0,top
(unknown),"pin.fp","unknown",2500.00,4200.00,0,top
(unknown),"pin.fp","unknown",2600.00,4200.00,0,top
(unknown),"pin.fp","unknown",2400.00,4100.00,0,top
(unknown),"pin.fp","unknown",2500.00,4100.00,0,top
(unknown),"pin.fp","unknown",2600.00,4100.00,0,top
(unknown),"pin.fp","unknown",2400.00,4000.00,0,top
(unknown),"pin.fp","unknown",2500.00,4000.00,0,top
(unknown),"pin.fp","unknown",2600.00,4000.00,0,top
(unknown),"pin.fp","unknown",2400.00,3900.00,0,top
(unknown),"pin.fp","unknown",2500.00,3900.00,0,top
(unknown),"pin.fp","unknown",2600.00,3900.00,0,top
(unknown),"pin.fp","unknown",2400.00,3800.00,0,top
(unknown),"pin.fp","unknown",2500.00,3800.00,0,top
(unknown),"pin.fp","unknown",2600.00,3800.00,0,top
(unknown),"pin.fp","unknown",1600.00,5100.00,0,top
(unknown),"pin.fp","unknown",1700.00,5100.00,0,top
(unknown),"pin.fp","unknown",1500.00,5100.00,0,top
(unknown),"pin.fp","unknown",2100.00,5100.00,0,top
(unknown),"pin.fp","unknown",2000.00,5100.00,0,top
(unknown),"pin.fp","unknown",1900.00,5100.00,0,top
(unknown),"pin.fp","unknown",1800.00,5100.00,0,top
(unknown),"pin.fp","unknown",2200.00,5100.00,0,top
(unknown),"pin.fp","unknown",2300.00,5100.00,0,top
(unknown),"pin.fp","unknown",1600.00,5000.00,0,top
(unknown),"pin.fp","unknown",1700.00,5000.00,0,top
(unknown),"pin.fp","unknown",1500.00,5000.00,0,top
(unknown),"pin.fp","unknown",2100.00,5000.00,0,top
(unknown),"pin.fp","unknown",2000.00,5000.00,0,top
(unknown),"pin.fp","unknown",1900.00,5000.00,0,top
(unknown),"pin.fp","unknown",1800.00,5000.00,0,top
(unknown),"pin.fp","unknown",2200.00,5000.00,0,top
(unknown),"pin.fp","unknown",2300.00,5000.00,0,top
(unknown),"pin.fp","unknown",1600.00,4900.00,0,top
(unknown),"pin.fp","unknown",1700.00,4900.00,0,top
(unknown),"pin.fp","unknown",1500.00,4900.00,0,top
(unknown),"pin.fp","unknown",2100.00,4900.00,0,top
(unknown),"pin.fp","unknown",2000.00,4900.00,0,top
(unknown),"pin.fp","unknown",1900.00,4900.00,0,top
(unknown),"pin.fp","unknown",1800.00,4900.00,0,top
(unknown),"pin.fp","unknown",2200.00,4900.00,0,top
(unknown),"pin.fp","unknown",2300.00,4900.00,0,top
(unknown),"pin.fp","unknown",1600.00,4800.00,0,top
(unknown),"pin.fp","unknown",1700.00,4800.00,0,top
(unknown),"pin.fp","unknown",1500.00,4800.00,0,top
(unknown),"pin.fp","unknown",2100.00,4800.00,0,top
(unknown),"pin.fp","unknown",2000.00,4800.00,0,top
(unknown),"pin.fp","unknown",1900.00,4800.00,0,top
